date,tic,adjcp,datadate
2010-01-08,KO,16.742563247680664,20100108
2010-01-08,MCD,39.72850799560547,20100108
2010-01-08,MMM,43.450477600097656,20100108
2010-01-08,MRK,20.842227935791016,20100108
2010-01-08,MSFT,22.86115074157715,20100108
2010-01-08,NKE,13.253508567810059,20100108
2010-01-08,PFE,9.079319953918457,20100108
2010-01-08,PG,37.43986511230469,20100108
2010-01-08,TRV,33.32126235961914,20100108
2010-01-08,UNH,25.313400268554688,20100108
2010-01-08,V,19.351665496826172,20100108
2010-01-08,VZ,12.887789726257324,20100108
2010-01-08,WMT,12.71917724609375,20100108
2010-01-08,XOM,37.83233642578125,20100108
2010-01-11,AAPL,6.295527935028076,20100111
2010-01-11,AXP,32.959171295166016,20100111
2010-01-11,BA,47.432167053222656,20100111
2010-01-11,CAT,42.85305404663086,20100111
2010-01-11,CSCO,15.825236320495605,20100111
2010-01-11,CVX,42.21540451049805,20100111
2010-01-11,DIS,26.687023162841797,20100111
2010-01-11,GS,128.81626892089844,20100111
2010-01-11,HD,19.095975875854492,20100111
2010-01-11,IBM,70.84333038330078,20100111
2010-01-11,INTC,13.564753532409668,20100111
2010-01-11,JNJ,39.91878128051758,20100111
2010-01-11,JPM,29.387937545776367,20100111
2010-01-11,KO,17.082578659057617,20100111
2010-01-11,MCD,40.036888122558594,20100111
2010-01-11,MMM,43.2752799987793,20100111
2010-01-11,MRK,20.925153732299805,20100111
2010-01-11,MSFT,22.570358276367188,20100111
2010-01-11,NKE,13.090160369873047,20100111
2010-01-11,PFE,9.152227401733398,20100111
2010-01-11,PG,37.291202545166016,20100111
2010-01-11,TRV,33.307525634765625,20100111
2010-01-11,UNH,25.48369789123535,20100111
2010-01-11,V,19.296049118041992,20100111
2010-01-11,VZ,12.940558433532715,20100111
2010-01-11,WMT,12.929052352905273,20100111
2010-01-11,XOM,38.25679016113281,20100111
2010-01-12,AAPL,6.223915100097656,20100112
2010-01-12,AXP,33.39628601074219,20100112
2010-01-12,BA,47.089290618896484,20100112
2010-01-12,CAT,41.59012985229492,20100112
2010-01-12,CSCO,15.574254989624023,20100112
2010-01-12,CVX,41.9700927734375,20100112
2010-01-12,DIS,26.227493286132812,20100112
2010-01-12,GS,126.00807189941406,20100112
2010-01-12,HD,18.97391128540039,20100112
2010-01-12,IBM,71.4068603515625,20100112
2010-01-12,INTC,13.344606399536133,20100112
2010-01-12,JNJ,40.13011932373047,20100112
2010-01-12,JPM,28.701568603515625,20100112
2010-01-12,KO,17.26775360107422,20100112
2010-01-12,MCD,40.25529861450195,20100112
2010-01-12,MMM,43.31136703491211,20100112
2010-01-12,MRK,20.759294509887695,20100112
2010-01-12,MSFT,22.421215057373047,20100112
2010-01-12,NKE,13.072005271911621,20100112
2010-01-12,PFE,9.123068809509277,20100112
2010-01-12,PG,37.7186279296875,20100112
